   1.0000000000000000E+00   0.0000000000000000E+00   1.3775567405439231E+29   0.0000000000000000E+00
   2.0000000000000000E+00   0.0000000000000000E+00   1.3775567405439231E+29   0.0000000000000000E+00
   3.0000000000000000E+00   0.0000000000000000E+00   1.3775567405439231E+29   0.0000000000000000E+00
   4.0000000000000000E+00   0.0000000000000000E+00   1.3775567405439231E+29   0.0000000000000000E+00
   5.0000000000000000E+00   0.0000000000000000E+00   1.3775567405439231E+29   0.0000000000000000E+00
   5.9889999999999999E+00   0.0000000000000000E+00   1.3775567405439231E+29   0.0000000000000000E+00
   5.9910000000000005E+00   0.0000000000000000E+00   1.3775567405439231E+29   0.0000000000000000E+00
   6.0000000000000000E+00   0.0000000000000000E+00   1.3775567405439231E+29   0.0000000000000000E+00
   7.0000000000000000E+00   0.0000000000000000E+00   1.3775567405439231E+29   0.0000000000000000E+00
   8.0000000000000000E+00   0.0000000000000000E+00   1.3775567405439231E+29   0.0000000000000000E+00
   9.0000000000000000E+00   9.2266118971273486E-04   9.1980686951817661E+03   9.5672257857888296E-04
   9.0690000000000008E+00   1.0940363408881546E-03   7.7572386658255282E+03   1.1344242944036711E-03
   9.0709999999999997E+00   1.1059976314662030E-03   7.6733446473164595E+03   1.1468271535382631E-03
   1.0000000000000000E+01   1.1478839211059421E-02   7.3933442653149632E+02   1.2220483166842615E-02
   1.1000000000000000E+01   2.4663166423924583E-02   3.4410427515597991E+02   2.6951322269743533E-02
   1.2000000000000000E+01   3.7879356590704780E-02   2.2404554272282502E+02   4.2466138765548715E-02
   1.3000000000000000E+01   5.0353381363735406E-02   1.6854282225955947E+02   5.7881606036651267E-02
   1.3619000000000000E+01   5.7409467915839077E-02   1.4782755028834572E+02   6.6975231171418598E-02
   1.3620999999999999E+01   5.7411140076188527E-02   1.4782324465414615E+02   6.6977241249117733E-02
   1.4000000000000000E+01   6.1880219618031820E-02   1.3714723473416464E+02   7.2893105353481702E-02
   1.5000000000000000E+01   7.2491238165956012E-02   1.1707209340150949E+02   8.7460356262934622E-02
   1.6000000000000000E+01   8.2329511848802564E-02   1.0308212468138551E+02   1.0168818638026712E-01
   1.7000000000000000E+01   9.1604630943675686E-02   9.2644890524956438E+01   1.1579076543818731E-01
   1.8000000000000000E+01   1.0054668469894151E-01   8.4405577675354351E+01   1.3003794433944757E-01
   1.9000000000000000E+01   1.0936545359192473E-01   7.7599467899820496E+01   1.4470526035592954E-01
   2.0000000000000000E+01   1.1823000697987900E-01   7.1781278054057651E+01   1.6003557374875924E-01
   2.1000000000000000E+01   1.2726177357270024E-01   6.6686961584011812E+01   1.7622212965136114E-01
   2.2000000000000000E+01   1.3653801408878072E-01   6.2156323731481756E+01   1.9340437631772409E-01
   2.3000000000000000E+01   1.4610594529338483E-01   5.8085938859738647E+01   2.1168430613918629E-01
   2.4000000000000000E+01   1.5599849152823975E-01   5.4402455576434583E+01   2.3114786517447083E-01
   2.5000000000000000E+01   1.6624326055336860E-01   5.1049895058040015E+01   2.5187811695109769E-01
   2.6000000000000000E+01   1.7496530763357582E-01   4.8505050059005377E+01   2.7008516746500211E-01
   2.7000000000000000E+01   1.8701780580893954E-01   4.5379106917905041E+01   2.9564294288573106E-01
